[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:36.16,33°0016.66717200 S,148°0046.00290000 W,034.416,279.65,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+1.493868E-02,1.493868E-02,00029.674,3.360000,+00.080,+00.075,-00.028,
016,0,0,0,0,01:14:36.20,33°0016.66713600 S,148°0046.00265400 W,034.412,279.73,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+8.547687E-03,8.547687E-03,00030.056,3.400000,+00.035,-00.034,-00.003,
016,0,0,0,0,01:14:36.24,33°0016.66710600 S,148°0046.00240800 W,034.524,279.58,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+4.336825E-02,4.336825E-02,00030.439,3.440000,+00.102,+00.064,+00.079,
016,0,0,0,0,01:14:36.28,33°0016.66707000 S,148°0046.00216200 W,034.682,279.64,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+7.740061E-02,7.740061E-02,00030.824,3.480000,+00.115,-00.024,+00.112,
016,0,0,0,0,01:14:36.32,33°0016.66703400 S,148°0046.00191600 W,034.686,279.69,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+4.005967E-02,4.005967E-02,00031.209,3.520000,+00.020,-00.020,+00.003,
016,0,0,0,0,01:14:36.36,33°0016.66699800 S,148°0046.00167600 W,034.592,279.54,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+1.659691E-02,1.659691E-02,00031.594,3.560000,+00.091,+00.062,-00.067,
016,0,0,0,0,01:14:36.40,33°0016.66696800 S,148°0046.00143000 W,034.636,279.60,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+9.265081E-03,9.265081E-03,00031.979,3.600000,+00.040,-00.025,+00.031,
016,0,0,0,0,01:14:36.44,33°0016.66692600 S,148°0046.00118400 W,034.805,279.78,+00500.240,000.259,001,0001,-000000001,00:00:00.04,+6.556069E-02,6.556069E-02,00032.365,3.640000,+00.143,-00.077,+00.120,
016,0,0,0,0,01:14:36.48,33°0016.66689600 S,148°0046.00093800 W,034.805,279.78,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+3.367408E-02,3.367408E-02,00032.751,3.680000,+00.001,+00.001,+00.000,
016,0,0,0,0,01:14:36.52,33°0016.66686000 S,148°0046.00069200 W,034.805,279.67,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+1.613028E-02,1.613028E-02,00033.138,3.720000,+00.048,+00.048,+00.000,
016,0,0,0,0,01:14:36.56,33°0016.66682400 S,148°0046.00044600 W,034.794,279.45,+00500.250,000.130,001,0001,-000000001,00:00:00.04,+2.044033E-02,2.044033E-02,00033.525,3.760000,+00.094,+00.094,-00.008,
016,0,0,0,0,01:14:36.60,33°0016.66678800 S,148°0046.00019400 W,034.895,279.48,+00500.250,000.130,001,0001,-000000001,00:00:00.04,+4.002736E-02,4.002736E-02,00033.912,3.800000,+00.073,-00.014,+00.072,
016,0,0,0,0,01:14:36.64,33°0016.66675200 S,148°0045.99994800 W,035.057,279.69,+00500.250,000.130,001,0001,-000000001,00:00:00.04,+7.663704E-02,7.663704E-02,00034.300,3.840000,+00.146,-00.091,+00.115,
016,0,0,0,0,01:14:36.68,33°0016.66671600 S,148°0045.99969600 W,035.150,279.75,+00500.240,000.259,001,0001,-000000001,00:00:00.04,+7.211284E-02,7.211284E-02,00034.691,3.880000,+00.070,-00.025,+00.066,
016,0,0,0,0,01:14:36.72,33°0016.66668000 S,148°0045.99945000 W,035.240,279.87,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+7.039934E-02,7.039934E-02,00035.082,3.920000,+00.085,-00.056,+00.064,
016,0,0,0,0,01:14:36.76,33°0016.66664400 S,148°0045.99920400 W,035.125,279.84,+00500.240,000.259,001,0001,-000000001,00:00:00.04,+1.449608E-02,1.449608E-02,00035.472,3.960000,+00.083,+00.016,-00.081,
016,0,0,0,0,01:14:36.80,33°0016.66661400 S,148°0045.99895200 W,035.032,279.50,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+4.143644E-02,4.143644E-02,00035.862,4.000000,+00.161,+00.147,-00.066,
